Number of transcription units: 3709
# Organism: Escherichia coli K-12 substr. MG1655
# Database: EcoCyc
# Version: 25.0
# Date and time generated: February 11, 2021, 14:47:02
"id"	"common_name"	"genes"	"left_end_pos"	"right_end_pos"	"direction"
"TU0-13630"	"yffMN"	["G7275", "G7274"]	2561368	2561993	"+"
"TU0-13632"	"yffQR"	["G7279", "G7278"]	2563592	2564372	"+"
"TU0-13633"	"yffS"	["G7280"]	2564523	2565332	"+"
"TU0-13634"	"eutHA"	["G7282", "G7281"]	2565481	2568107	"-"
"TU0-13635"	"eutNEJG"	["G7286", "G7285", "G7284", "G7283"]	2568324	2572050	"-"
"TU0-13636"	"eutSPQTDM"	["G7292", "G7291", "G7290", "G7289", "G7288", "G7287"]	2572157	2575805	"-"
"TU0-13637"	"maeB"	["G7293"]	2576098	2578377	"-"
"TU0-13638"	"ypfG"	["G7295"]	2581734	2582777	"-"
"TU0-13639"	"nudK"	["EG12410"]	2582903	2583478	"-"
"TU0-13640"	"aegA"	["EG12409"]	2583546	2585525	"-"
"TU0-13641"	"narQ"	["EG11460"]	2585731	2587431	"+"
"TU0-13642"	"yffB-dapE-ypfN"	["G0-10463", "EG10208", "EG11147"]	2591247	2592962	"+"
"TU0-13643"	"ypfH"	["G7296"]	2593072	2593770	"-"
"TU0-13644"	"ypfJ-tmcA"	["G7298", "G7297"]	2593844	2596737	"-"
"TU0-13646"	"hda"	["G7313"]	2618075	2618776	"-"
"TU0-13647"	"yfgG"	["G7315"]	2629290	2629481	"+"
"TU0-13648"	"yfgHI"	["G7317", "G7316"]	2629792	2630865	"+"
"TU0-13649"	"yfgJ"	["G7318"]	2635599	2635814	"-"
"TU0-13650"	"rlmN"	["EG12401"]	2643129	2644283	"-"
"TU0-13651"	"ndk"	["EG10650"]	2644433	2644864	"-"
"TU0-13652"	"yfhM-pbpC"	["G7323", "G7322"]	2645013	2652287	"-"
"TU0-13653"	"IS128"	["G0-8908"]	2653515	2653723	"+"
"TU0-13654"	"ryfA"	["G0-8879"]	2653855	2654158	"+"
"TU0-13655"	"sseB"	["EG11601"]	2654157	2654933	"-"
"TU0-13656"	"pepB"	["EG12310"]	2655075	2656358	"-"
"TU0-13657"	"trmJ"	["G7327"]	2662583	2663323	"-"
"TU0-13658"	"suhB"	["EG10983"]	2663442	2664245	"+"
"TU0-13659"	"yfhR"	["G7328"]	2664390	2665244	"+"
"TU0-13660"	"hcaT"	["G7330"]	2666707	2667846	"-"
"TU0-13661"	"yphA"	["G7337"]	2673346	2673768	"+"
"TU0-13662"	"yphCB"	["G7339", "G7338"]	2673816	2675761	"-"
"TU0-13663"	"yphFED"	["G7342", "G7341", "G7340"]	2675827	2679367	"-"
"TU0-13664"	"yphG"	["G7343"]	2679464	2682745	"-"
"TU0-13666"	"glmY"	["G0-8910"]	2691157	2691340	"-"
"TU0-13667"	"pgpC-tadA"	["EG11371", "EG11372"]	2697354	2698550	"-"
"TU0-13668"	"yfhH"	["EG12308"]	2698759	2699607	"+"
"TU0-13669"	"yfhL"	["G7346"]	2699663	2699923	"+"
"TU0-13671"	"tapT-patZ"	["G7350", "G7349"]	2719223	2722613	"+"
"TU0-13672"	"pssA"	["EG10781"]	2722727	2724082	"+"
"TU0-13673"	"yfiM"	["EG12857"]	2724128	2724451	"+"
"TU0-13674"	"kgtP"	["EG10522"]	2724448	2725746	"-"
"TU0-13675"	"rluD-pgeF"	["EG12098", "EG12097"]	2734303	2736011	"-"
"TU0-13677"	"raiAZ"	["G0-17078", "EG11151"]	2737154	2737542	"+"
"TU0-13678"	"yfiL"	["EG12446"]	2741360	2741725	"+"
"TU0-13679"	"yfiR-dgcN-yfiB"	["EG11152", "EG12880", "G7354"]	2741875	2744107	"+"
"TU0-13680"	"ffh"	["EG10300"]	2746434	2747795	"-"
"TU0-13681"	"ypjD"	["G7355"]	2747962	2748753	"+"
"TU0-13682"	"yfjD"	["EG12442"]	2748774	2750060	"+"
"TU0-13683"	"nadK"	["EG12192"]	2750831	2751709	"+"
"TU0-13685"	"ratA-yfjF"	["G7358", "G7357"]	2754008	2754764	"-"
"TU0-13686"	"smpB"	["EG11782"]	2754896	2755378	"+"
"TU0-13688"	"intA"	["EG11783"]	2756159	2757400	"+"
"TU0-13689"	"alpA"	["EG12112"]	2758644	2758856	"+"
"TU0-13690"	"yfjI"	["G7360"]	2758985	2760394	"+"
"TU0-13691"	"yfjJ"	["G7361"]	2760547	2761173	"+"
"TU0-13692"	"abpAB"	["G7363", "G7362"]	2761351	2765153	"-"
"TU0-13693"	"yfjM"	["G7364"]	2765513	2765776	"-"
"TU0-13694"	"yfjPQ"	["G7368", "G7367"]	2767710	2769486	"+"
"TU0-13695"	"yfjR-ypjK-yfjS-yfjT"	["G7372", "G7371", "G7370", "G7369"]	2769703	2771615	"+"
"TU0-13696"	"yfjU"	["G7373"]	2771840	2772154	"-"
"TU0-13697"	"yfjV"	["G7376"]	2772167	2773182	"-"
"TU0-13698"	"yfjW"	["G7377"]	2773318	2775021	"+"
"TU0-13699"	"yfjXY-ypjJ-yfjZ-ypjF"	["G7381", "G7380", "G0-10464", "G7379", "G7378"]	2775919	2777782	"+"
"TU0-13700"	"ypjA"	["G7382"]	2778146	2782726	"-"
"TU0-13701"	"pinH"	["G7383"]	2783065	2783304	"-"
"TU0-13702"	"ypjB"	["G7384"]	2783638	2784429	"-"
"TU0-13703"	"ypjC"	["G7385"]	2784529	2785011	"-"
"TU0-13704"	"ileY"	["G7387"]	2785762	2785837	"-"
"TU0-13705"	"ygaQ"	["G7389"]	2786397	2788649	"+"
"TU0-13708"	"kbp"	["G7395"]	2796337	2796786	"-"
"TU0-13709"	"yqaE"	["G7396"]	2796870	2797028	"-"
"TU0-13710"	"ygaVP"	["G7398", "G7397"]	2797211	2798044	"+"
"TU0-13711"	"ygaM"	["G7400"]	2800146	2800475	"+"
"TU0-13712"	"ygaY"	["G7403"]	2808316	2809493	"+"
"TU0-13713"	"ygaZH"	["G7406", "G7405"]	2809617	2810679	"+"
"TU0-13714"	"gshA"	["EG10418"]	2814883	2816439	"-"
"TU0-13715"	"yqaBA"	["G7408", "G7407"]	2816512	2817503	"-"
"TU0-13716"	null	["EG11447"]	2818961	2819146	"-"
"TU0-13718"	"pncC"	["G7409"]	2823849	2824346	"-"
"TU0-13719"	"mltB"	["G7410"]	2824491	2825576	"-"
"TU0-13720"	"pphB"	["G7415"]	2859760	2860416	"+"
"TU0-13721"	"ygbJK"	["G7418", "G7417"]	2861430	2863501	"+"
"TU0-13722"	"ygbLM"	["G7420", "G7419"]	2863593	2865012	"+"
"TU0-13723"	"ygbN"	["G7421"]	2865101	2866465	"+"
"TU0-13724"	"ygbE"	["EG12707"]	2873014	2873337	"-"
"TU0-13725"	"casABCDE12"	["G7430", "G7429", "G7428", "G7427", "G7426", "G7425", "EG12845"]	2878569	2884138	"-"
"TU0-13726"	"cas3"	["EG12634"]	2884553	2887219	"-"
"TU0-13727"	"queD"	["G7431"]	2892214	2892579	"+"
"TU0-13728"	"ygcNOP"	["G7434", "G7433", "G7432"]	2892657	2894771	"+"
"TU0-13729"	"ygcRQ"	["G7436", "G7435"]	2894919	2896555	"-"
"TU0-13730"	"ygcS"	["G7437"]	2896533	2897870	"-"
"TU0-13731"	"ygcU"	["G7439"]	2897964	2899418	"-"
"TU0-13732"	"ygcW"	["G7440"]	2899488	2900273	"-"
"TU0-13733"	"yqcE-ygcE"	["G7442", "EG13174"]	2900592	2903374	"+"
"TU0-13735"	"rlmD"	["EG11247"]	2913699	2915000	"-"
"TU0-13736"	"yqcC-truC-yqcA"	["G7450", "G7449", "G7448"]	2922535	2924113	"-"
"TU0-13737"	"syd"	["G7451"]	2924735	2925280	"-"
"TU0-13738"	"queF"	["G7452"]	2925348	2926196	"+"
"TU0-13739"	"ppnN"	["EG12373"]	2926308	2927672	"+"
"TU0-13740"	"ygdG"	["EG12372"]	2931055	2931810	"+"
"TU0-13741"	"csdAE"	["G7455", "G7454"]	2943337	2944985	"+"
"TU0-13742"	"tcdA"	["G7456"]	2945036	2945842	"-"
"TU0-13743"	"mltA"	["G7457"]	2946081	2947178	"-"
"TU0-13744"	"ptrA-recBD"	["EG10786", "EG10824", "EG10826"]	2950635	2958884	"-"
"TU0-13745"	"ppdAB-ygdB-ppdC-recC"	["EG12081", "EG11156", "EG11155", "EG11154", "EG10825"]	2959060	2964177	"-"
"TU0-13746"	"rppH-ptsP"	["G7459", "EG12188"]	2966188	2968977	"-"
"TU0-13747"	"mutH"	["EG10624"]	2969662	2970351	"+"
"TU0-13748"	"ygdQ"	["G7460"]	2970420	2971133	"+"
"TU0-13749"	"ygdR"	["G7461"]	2971271	2971489	"+"
"TU0-13750"	"tas"	["G7462"]	2971597	2972637	"+"
"TU0-13751"	"aas-lplT"	["EG11679", "EG12455"]	2972669	2976014	"-"
"TU0-13754"	"ygeA"	["EG11157"]	2979943	2980635	"-"
"TU0-13755"	"kduD"	["EG12361"]	2982497	2983258	"-"
"TU0-13756"	"kduI"	["G7463"]	2983288	2984124	"-"
"TU0-13757"	"yqeF"	["G7464"]	2984411	2985592	"-"
"TU0-13758"	"yqeG"	["G7465"]	2985847	2987076	"+"
"TU0-13759"	"yqeH"	["G7466"]	2987536	2988168	"+"
"TU0-13760"	"yqeIJ"	["G7468", "G7467"]	2988502	2989786	"+"
"TU0-13761"	"ygeF"	["G7470"]	2990554	2991043	"+"
"TU0-13762"	"ygeG"	["G7471"]	2991268	2991759	"+"
"TU0-13763"	"ygeH"	["G7472"]	2992094	2993470	"+"
"TU0-13764"	"ygeI"	["G7473"]	2993638	2993856	"+"
"TU0-13765"	"pbl"	["G7474"]	2993939	2994441	"+"
"TU0-13766"	"ygeLK"	["G7476", "G7475"]	2994460	2995092	"-"
"TU0-13767"	"insC4D4CD4-ygeON"	["G7481", "G7480", "G0-10544", "G7479", "G7478"]	2995314	2997600	"-"
"TU0-13768"	"ygeP"	["G7482"]	2997689	2997988	"-"
"TU0-13769"	"ygeQ"	["G7483"]	2998034	2998828	"-"
"TU0-13770"	"glyU"	["EG30037"]	2998984	2999057	"-"
"TU0-13771"	"ygeR"	["G7484"]	2999136	2999891	"-"
"TU0-13773"	"ygeW"	["G7489"]	3006262	3007452	"+"
"TU0-13774"	"ygeX"	["G7490"]	3007510	3008706	"+"
"TU0-13775"	"ygeY"	["G7491"]	3008764	3009975	"+"
"TU0-13776"	"hyuA"	["G7492"]	3010028	3011413	"+"
"TU0-13777"	"yqeA"	["G7493"]	3011461	3012393	"+"
"TU0-13778"	"yqeB"	["G7494"]	3012614	3014239	"-"
"TU0-13779"	"yqeC"	["G7495"]	3014287	3015057	"-"
"TU0-13780"	"mocA"	["G7496"]	3015160	3015738	"+"
"TU0-13781"	"ygfK-ssnA"	["G7498", "G7497"]	3016060	3020489	"+"
"TU0-13782"	"ygfM-xdhD"	["G7500", "G7499"]	3020540	3024186	"+"
"TU0-13783"	"xanQ-guaD-ghxQ"	["G7503", "G7502", "G7501"]	3024351	3028488	"+"
"TU0-13784"	"ygfTS"	["G7506", "G7505"]	3028524	3030931	"-"
"TU0-13785"	"uacT"	["G7507"]	3031367	3032815	"+"
"TU0-13786"	"idi"	["G7508"]	3033065	3033613	"+"
"TU0-13787"	"xerD"	["EG11071"]	3038847	3039743	"-"
"TU0-13788"	"sdhE-ygfX"	["G7510", "G7509"]	3040416	3041070	"-"
"TU0-13789"	"yqfA"	["G7512"]	3042489	3043148	"-"
"TU0-13790"	"yqfB"	["G7513"]	3043312	3043623	"-"
"TU0-13791"	"ygfF"	["G7514"]	3045158	3045901	"-"
"TU0-13792"	"ygfB-pepP-ubiHI"	["EG11323", "EG10697", "EG11324", "EG11333"]	3051115	3055444	"-"
"TU0-13793"	"zapA"	["EG12878"]	3055612	3055941	"+"
"TU0-13794"	"ssrS-ygfA"	["EG11158", "EG30099"]	3055983	3056789	"+"
"TU0-13796"	"yqfE"	["G7515"]	3059381	3059611	"-"
"TU0-13798"	"ygfI"	["G7518"]	3066277	3067173	"-"
"TU0-13799"	"argO"	["EG11159"]	3068173	3068808	"-"
"TU0-13800"	"mscS"	["EG11160"]	3068947	3069807	"-"
"TU0-13801"	"cmtBA-yggPF-fumE-yggC"	["EG11791", "EG11792", "G7520", "EG11245", "EG11162", "EG11161"]	3073976	3079330	"-"
"TU0-13802"	"tktA"	["EG11427"]	3079644	3081635	"-"
"TU0-13804"	"yggI"	["EG12122"]	3089755	3090252	"+"
"TU0-13805"	"rsmE-gshB"	["EG10419", "EG12366"]	3091134	3092828	"+"
"TU0-13806"	"yqgEF"	["G7525", "G7524"]	3092937	3093916	"+"
"TU0-13807"	"yggSTU-rdgB-hemW"	["G7531", "G7530", "G7529", "G7528", "G7527"]	3095098	3098403	"+"
"TU0-13808"	"yggM"	["EG12704"]	3098558	3099565	"-"
"TU0-13809"	"trmB-yggL"	["EG11779", "EG12443"]	3101807	3102852	"-"
"TU0-13810"	"yqgA"	["G7534"]	3109553	3110260	"+"
"TU0-13811"	"yghED"	["G7536", "G7535"]	3110590	3111988	"-"
"TU0-13813"	"yghG"	["G7538"]	3113067	3113477	"-"
"TU0-13814"	"pppA"	["G7539"]	3113543	3114352	"-"
"TU0-13815"	"yghJ"	["G7541"]	3114550	3119112	"-"
"TU0-13816"	"yghQ"	["G7549"]	3131341	3132408	"-"
"TU0-13817"	"yghSR"	["G7551", "G7550"]	3132454	3133957	"-"
"TU0-13818"	"pitB"	["EG12883"]	3134872	3136371	"-"
"TU0-13819"	"gss"	["EG12882"]	3136663	3138522	"-"
"TU0-13820"	"yghW"	["G7555"]	3146450	3146737	"-"
"TU0-13821"	"yghX"	["G7557"]	3146856	3147691	"-"
"TU0-13822"	"yghB"	["EG11824"]	3153563	3154222	"+"
"TU0-13823"	"yqhD-dkgA"	["G7565", "G7564"]	3155355	3157450	"+"
"TU0-13824"	null	["G7565"]	3156623	3157450	"+"
"TU0-13825"	"yqhG"	["G7566"]	3157650	3158576	"+"
"TU0-13826"	"yqhH"	["G7567"]	3158627	3158884	"+"
"TU0-13827"	"ygiQ"	["G7568"]	3158927	3161146	"-"
"TU0-13828"	"ftsP"	["EG11376"]	3161257	3162669	"-"
"TU0-13829"	"plsC"	["EG11377"]	3162744	3163481	"-"
"TU0-13830"	"parC"	["EG10686"]	3163715	3165973	"-"
"TU0-13831"	"ygiS"	["G7570"]	3166111	3167718	"-"
"TU0-13832"	"mqsRA"	["G7572", "G7571"]	3167851	3168544	"-"
"TU0-13833"	"ygiV"	["G7573"]	3168749	3169231	"-"
"TU0-13834"	"ygiW"	["G7574"]	3169284	3169676	"-"
"TU0-13835"	"mdaB"	["EG12656"]	3172530	3173111	"+"
"TU0-13836"	"ygiN"	["EG12657"]	3173142	3173456	"+"
"TU0-13837"	"nudF-yqiB-cpdA-yqiA-parE"	["EG12633", "G7580", "G7579", "G7578", "EG10687"]	3173504	3177910	"-"
"TU0-13838"	"tolC-ygiBC"	["EG11165", "EG11164", "EG11009"]	3178115	3181581	"+"
"TU0-13839"	"sroG-ribB"	["G0-9387", "EG10465"]	3183813	3184718	"-"
"TU0-13841"	"ubiK"	["G7582"]	3184840	3185130	"+"
"TU0-13842"	"ygiL"	["EG12363"]	3185414	3185965	"+"
"TU0-13843"	"insC5CD5D5-yqiHIG"	["G7587", "G7586", "G7585", "G7584", "G7583", "G0-10545"]	3186025	3191696	"+"
"TU0-13844"	"yqiJK"	["G7589", "G7588"]	3192208	3194525	"+"
"TU0-13845"	"sibD"	["G0-8913"]	3194721	3194865	"-"
"TU0-13846"	"hldE"	["G7590"]	3195320	3196753	"-"
"TU0-13847"	"ygiF-glnE"	["EG11603", "EG11602"]	3196801	3200965	"-"
"TU0-13848"	"folB"	["EG11673"]	3204221	3204589	"-"
"TU0-13850"	"ebgR"	["EG10254"]	3221466	3222449	"+"
"TU0-13851"	"ygjI"	["EG12720"]	3226234	3227667	"+"
"TU0-13852"	"ygjJK"	["G7599", "G7598"]	3227801	3231239	"+"
"TU0-13853"	"fadH"	["G36"]	3231665	3233683	"+"
"TU0-13854"	"higBA"	["G7602", "G7601"]	3233728	3234455	"-"
"TU0-13855"	"rlmG"	["G7603"]	3234739	3235875	"-"
"TU0-13856"	"ygjP"	["G7604"]	3235960	3236463	"+"
"TU0-13857"	"ygjQ"	["G7605"]	3236540	3237232	"+"
"TU0-13858"	"ygjR"	["G7606"]	3237311	3238297	"+"
"TU0-13859"	"alx"	["G7607"]	3238580	3239545	"+"
"TU0-13860"	"sstT"	["EG12732"]	3239944	3241188	"+"
"TU0-13861"	"ygjV"	["G7608"]	3241193	3241744	"-"
"TU0-13863"	"yqjCDEK"	["G7614", "G7613", "G7612", "G7611"]	3248969	3250376	"+"
"TU0-13864"	"yqjF"	["G7615"]	3250562	3250954	"+"
"TU0-13865"	"yqjG"	["G7616"]	3251024	3252010	"+"
"TU0-13866"	"yhaH"	["G7617"]	3252304	3252669	"+"
"TU0-13867"	"yhaI"	["G7618"]	3252911	3253267	"+"
"TU0-13868"	"yhaKL"	["G7621", "G7620"]	3254319	3255207	"+"
"TU0-13869"	"cyuPA"	["EG12754", "G7622"]	3255341	3258010	"-"
"TU0-13870"	"tdcR"	["EG10992"]	3267380	3267598	"+"
"TU0-13871"	"yhaBC"	["EG11174", "EG11173"]	3267854	3269602	"+"
"TU0-13872"	"sohA-yhaV"	["G7629", "EG10955"]	3277002	3277801	"+"
"TU0-13873"	"yraH"	["G7637"]	3287426	3288010	"+"
"TU0-13874"	"yraIJK"	["G7640", "G7639", "G7638"]	3288090	3292432	"+"
"TU0-13875"	"yraQ"	["G7645"]	3297098	3298138	"-"
"TU0-13876"	"yraR"	["G7646"]	3298211	3298846	"-"
"TU0-13877"	"ubiT-yhbS"	["G7651", "G7650"]	3300255	3301276	"-"
"TU0-13878"	"ubiUV"	["G7653", "G7652"]	3301485	3303367	"+"
"TU0-13879"	"yhbW"	["G7654"]	3303448	3304455	"+"
"TU0-13880"	"deaD"	["EG10215"]	3305971	3307860	"-"
"TU0-13881"	"nlpI"	["EG12371"]	3308040	3308924	"-"
"TU0-13882"	"yhbX"	["G7655"]	3319988	3321613	"-"
"TU0-13883"	"folP-glmM"	["EG50011", "EG11553"]	3322733	3324911	"-"
"TU0-13884"	"yhbE-obgE"	["EG11499", "G7656"]	3330582	3332735	"-"
"TU0-13885"	"ispB"	["EG10017"]	3333710	3334681	"+"
"TU0-13886"	"sfsB"	["EG10656"]	3334909	3335187	"+"
"TU0-13887"	"murA"	["EG11358"]	3335235	3336494	"-"
"TU0-13888"	"ibaG"	["G7657"]	3336549	3336803	"-"
"TU0-13889"	"mlaFEDCB"	["EG12801", "EG12800", "EG12799", "G7659", "G7658"]	3336963	3340065	"-"
"TU0-13890"	"elbB-mtgA"	["EG11383", "G7668"]	3349081	3350459	"-"
"TU0-13891"	"yhcC"	["G7669"]	3353121	3354050	"-"
"TU0-13892"	"yhcADE"	["G7671", "G7670", "EG11515"]	3362112	3366929	"+"
"TU0-13893"	"yhcF"	["G7673"]	3366926	3367642	"+"
"TU0-13894"	"yhcG"	["G7674"]	3367827	3368954	"+"
"TU0-13895"	"nanR"	["G7678"]	3373698	3374489	"-"
"TU0-13896"	"zapE"	["G7680"]	3378870	3379997	"-"
"TU0-13897"	"yhcB"	["G7681"]	3380191	3380589	"+"
"TU0-13898"	"degQS"	["EG11652", "G7682"]	3380743	3383267	"+"
"TU0-13899"	"yhcN"	["G7683"]	3385538	3385801	"+"
"TU0-13900"	"yhcO"	["G7684"]	3385857	3386129	"-"
"TU0-13901"	"aaeXAB"	["G7687", "G7686", "G7685"]	3386221	3389337	"-"
"TU0-13902"	"tldD"	["G7689"]	3390583	3392028	"-"
"TU0-13903"	"yhdP"	["G7690"]	3392458	3396258	"-"
"TU0-13904"	"csrD"	["EG10018"]	3401392	3403332	"-"
"TU0-13905"	"yhdJ"	["EG11498"]	3411653	3412537	"+"
"TU0-13906"	"yhdU"	["G7694"]	3412621	3412800	"+"
"TU0-13907"	"yhdV"	["G7695"]	3418390	3418611	"+"
"TU0-13908"	"trkA"	["EG11019"]	3436518	3437894	"+"
"TU0-13909"	"mscL"	["EG11180"]	3438024	3438434	"+"
"TU0-13910"	"arfA"	["G0-10465"]	3438431	3438649	"-"
"TU0-13911"	"yhdN-zntR"	["EG11970", "EG11969"]	3438705	3439509	"-"
"TU0-13913"	"gspCDEFGHIJKLMO"	["EG11359", "EG12173", "G7711", "G7710", "G7709", "G7708", "G7707", "G7706", "G7705", "G7704", "G7703", "G7702"]	3455578	3466220	"+"
"TU0-13914"	"bfd-bfr"	["EG11181", "EG10113"]	3466249	3466991	"-"
"TU0-13915"	"yheO-tusDCB"	["G7715", "G7714", "G7713", "G7712"]	3474678	3476440	"-"
"TU0-13917"	"slyD"	["EG11663"]	3477907	3478497	"-"
"TU0-13918"	"kefGB-yheV"	["G7717", "EG20110", "G0-10466"]	3478592	3481161	"-"
"TU0-13919"	"yheSTU"	["G7719", "G7718", "EG12903"]	3481289	3484436	"+"
"TU0-13920"	"prkB"	["EG12365"]	3484490	3485359	"+"
"TU0-13922"	"tsgA"	["EG11262"]	3492568	3493749	"+"
"TU0-13923"	"yhfL"	["G7722"]	3499448	3499615	"+"
"TU0-13924"	"yhfXW-php-yhfUTS"	["G7733", "G7732", "G7731", "G7730", "G7729", "G7728"]	3504935	3510976	"-"
"TU0-13925"	"yhfZY"	["G7735", "G7734"]	3511060	3512344	"-"
"TU0-13926"	"hofQ"	["EG12113"]	3519465	3520703	"-"
"TU0-13927"	"hofMNOP"	["G7739", "G7738", "G7737", "G7736"]	3520615	3522751	"-"
"TU0-13928"	"igaA"	["G7741"]	3526469	3528604	"+"
"TU0-13929"	"yrfG-hslR"	["G7743", "G7742"]	3528669	3529749	"+"
"TU0-13930"	"hslO"	["G7744"]	3529774	3530652	"+"
"TU0-13931"	"greB"	["EG11578"]	3536812	3537288	"+"
"TU0-13932"	"yhgF"	["G7746"]	3537385	3539706	"+"
"TU0-13933"	"rpnA"	["EG11750"]	3543167	3544045	"+"
"TU0-13934"	"yzgL"	["G7752"]	3563724	3564005	"-"
"TU0-13935"	"asd"	["EG10088"]	3573775	3574878	"-"
"TU0-13936"	"yhhW"	["G7756"]	3578950	3579645	"-"
"TU0-13937"	"yhhX"	["G7757"]	3579768	3580805	"-"
"TU0-13940"	"yhhZ-yrhA-insA6AB6B6"	["G7762", "G7761", "G0-10540", "G7760", "G7759"]	3581863	3584309	"+"
"TU0-13941"	"yrhB"	["G7763"]	3584759	3585043	"+"
"TU0-13942"	"rsmD-yhhL"	["EG12212", "EG10343"]	3604393	3605248	"+"
"TU0-13943"	"yhhN"	["EG12214"]	3605751	3606377	"+"
"TU0-13944"	"yhhQ"	["EG12217"]	3609217	3609882	"+"
"TU0-13945"	"dcrB"	["G7767"]	3609955	3610512	"+"
"TU0-13946"	"yhhT"	["EG12220"]	3611865	3612914	"+"
"TU0-13947"	"acpT"	["EG12221"]	3612969	3613556	"+"
"TU0-13948"	"rhsB"	["EG10847"]	3619192	3623427	"+"
"TU0-13949"	"yhhH"	["EG11520"]	3623399	3623782	"+"
"TU0-13950"	"yrhC"	["G0-10563"]	3623887	3624132	"+"
"TU0-13951"	"yhhI"	["EG11525"]	3624378	3625514	"+"
"TU0-13952"	"yhiI-rbbA-yhhJ"	["EG12224", "EG12223", "EG11767"]	3625679	3630602	"-"
"TU0-13953"	"yhiJ"	["EG12225"]	3630968	3632590	"-"
"TU0-13955"	"yhiL"	["EG12227"]	3632852	3634458	"-"
"TU0-13956"	"dtpB"	["EG12232"]	3640862	3642331	"+"
"TU0-13957"	"prlC-yhiQ"	["EG11441", "EG12233"]	3642380	3645182	"-"
"TU0-13958"	"rlmJ"	["EG12234"]	3645385	3646227	"+"
"TU0-13960"	"yhiS"	["EG12238"]	3651291	3653713	"+"
"TU0-13962"	"yhiD"	["EG11400"]	3655255	3655902	"-"
"TU0-13964"	"mdtEF"	["EG12241", "EG12240"]	3659232	3663527	"+"
"TU0-13965"	"yhjA"	["EG12244"]	3667791	3669188	"-"
"TU0-13966"	"yhjC"	["EG12247"]	3672414	3673313	"+"
"TU0-13967"	"yhjD"	["EG12248"]	3673362	3674375	"+"
"TU0-13968"	"yhjE"	["EG12249"]	3674786	3676108	"+"
"TU0-13969"	"yhjG"	["EG12251"]	3676290	3678350	"-"
"TU0-13971"	"pdeK"	["EG12256"]	3683630	3685618	"-"
"TU0-13972"	"bcsEFG"	["EG12265", "EG12264", "EG12263"]	3696458	3699893	"+"
"TU0-13973"	"rdlD"	["G0-9042"]	3700136	3700199	"+"
"TU0-13974"	"yhjV"	["EG12266"]	3700563	3701834	"+"
"TU0-13975"	"eptB"	["EG12267"]	3708784	3710475	"-"
"TU0-13977"	"yhjY"	["EG12269"]	3712236	3712934	"-"
"TU0-13978"	"tag-yiaC"	["EG12270", "EG10986"]	3713092	3714092	"+"
"TU0-13979"	"yiaD"	["EG12271"]	3716547	3717206	"+"
"TU0-13980"	"ghrB"	["EG12272"]	3717310	3718284	"+"
"TU0-13981"	"ysaB"	["G0-10467"]	3725413	3725712	"-"
"TU0-13982"	"yiaA"	["EG11186"]	3726924	3727361	"-"
"TU0-13983"	"yiaB"	["EG11267"]	3727407	3727748	"-"
"TU0-13984"	"avtA"	["EG10107"]	3739705	3740958	"+"
"TU0-13985"	"ysaA"	["EG12277"]	3741109	3741582	"-"
"TU0-13986"	"yiaWV"	["EG12291", "EG12290"]	3752963	3754428	"-"
"TU0-13987"	"yiaY"	["EG12293"]	3756676	3757827	"-"
"TU0-13988"	"yibF"	["EG11762"]	3761347	3761955	"-"
"TU0-13989"	"rhsA-yibA"	["EG11187", "EG10846"]	3762183	3767179	"+"
"TU0-13990"	"yibJ"	["EG11766"]	3767221	3767922	"+"
"TU0-13991"	"yibG"	["EG11763"]	3768177	3768638	"+"
"TU0-13992"	"yibIH"	["EG11765", "EG11764"]	3770243	3771744	"-"
"TU0-13993"	"yibL"	["EG11964"]	3776665	3777027	"+"
"TU0-13994"	"trmL"	["EG11888"]	3781215	3781688	"+"
"TU0-13995"	"secB-gpsA"	["EG10937", "EG20091"]	3782642	3784128	"-"
"TU0-13996"	"grxC"	["EG12294"]	3784191	3784442	"-"
"TU0-13997"	"yibN"	["EG12295"]	3784584	3785015	"-"
"TU0-13998"	"gpmM-envC-yibQ"	["EG12298", "EG12297", "EG12296"]	3785260	3789060	"+"
"TU0-13999"	"yibD"	["EG11266"]	3789047	3790081	"-"
"TU0-14"	"gor"	["EG10412"]	3646299	3647651	"+"
"TU0-14000"	"htrL"	["EG11188"]	3792826	3793683	"-"
"TU0-14001"	"yicC"	["EG11192"]	3816676	3817539	"+"
"TU0-14002"	"dinD"	["EG11193"]	3817760	3818584	"+"
"TU0-14003"	"yicG"	["EG11683"]	3818874	3819491	"+"
"TU0-14004"	"gmk"	["EG10965"]	3821428	3822051	"+"
"TU0-14005"	"xanP"	["EG11194"]	3828945	3830336	"+"
"TU0-14006"	"yicH"	["EG11684"]	3830457	3832166	"+"
"TU0-14007"	"selC"	["EG30092"]	3836222	3836316	"+"
"TU0-14008"	"setC"	["EG11687"]	3836953	3838137	"+"
"TU0-14009"	"yicL"	["EG11688"]	3838248	3839171	"+"
"TU0-14010"	"nepI"	["EG11689"]	3840549	3841739	"-"
"TU0-14011"	"yicN"	["EG11690"]	3841950	3842402	"-"
"TU0-14012"	"adeQ"	["EG11691"]	3842455	3843789	"-"
"TU0-14013"	"emrD"	["EG11693"]	3853922	3855106	"+"
"TU0-14014"	"yidHGF"	["EG11696", "EG11695", "EG11694"]	3855114	3856307	"-"
"TU0-14015"	"yidKJ"	["EG11706", "EG11705"]	3856911	3860116	"-"
